English;Russian;German;Italian;French;Spanish

Storys;Storys;Сюжетные;;;;
Achievement;Achievement;Достижения;;;;
Guild;Guild;Гильдия;;;;


Start;Start;Начало пути;;;;
New world new attempt;New world - new opportunity;Новый мир - новая возможность;;;;
Expanding boundaries;Expand boundaries;Расширение границ;;;;
Wood is at the heart of everything;Wood is at the heart of everything;Дерево в основе всего;;;;
Build Quarry;Build Quarry;Строительтво каменоломни;;;;
Collect Dollars;Collect Dollars;Экономист;;;;
Minning;Minning;Добыча ресурсов;;;;
ImportantResources;Important Resources;Важные ресурсы для жизни;;;;
Name for your town;Give your town a name;Дайте название вашему городу;;;;

addHunters;Send the inhabitants to hunt;Отправить жителей на охоту;;;;
addWaterCarrier;Send the inhabitants for water;Отправить жителей за водой;;;;
renameTown;Give your town a name;Дайте название вашему городу;;;;

