English;Russian;German;Italian;French;Spanish

Iron Knife;Iron Knife;Железный Нож;Iron Knife;;;
Stone Knife;Stone Knife;Костяной Нож;Stone Knife;;;
Tomahawk;Tomahawk;Томагавк;Tomahawk;;;
Spear;Spear;Копье;Spear;;;

Bow;Bow;Лук Охотников;Bow;;;

Colt Peacemaker;Colt Peacemaker;Кольт Миротворец;Colt Peacemaker;;;
LE MAT;LE MAT;LE MAT;LE MAT;;;
Remington 1858;Remington 1858;Remington 1858;Remington 1858;;;
Double Derringer;Double Derringer;Double Derringer;Double Derringer;;;

Winchester 1866;Winchester 1866;Винтовка Винчестера 1866;Winchester 1866;;;
Winchester 1873;Winchester 1873;Винтовка Винчестера 1873;Winchester 1873;;;
Coach Shotgun;Coach Shotgun;Переломный дробовик;Coach Shotgun;;;
Sharps Model 1874;Sharps Model 1874;Арамейский карабин;Sharps Model 1874;;;

Gatling;Gatling;Картечница Гатлинга;Gatling;;;
